               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094284,            0.025844,                   0,            0.043533,             0.10405,            0.031022,           0.0071253,            0.035026,            0.010703,                   0,            0.070638,           0.0032624,           0.0032624
                   1,            0.061541,             0.01988,                   0,             0.52231,             0.56216,             0.50047,             0.10249,            0.032547,           0.0079885,                   0,            0.040573,           0.0065304,           0.0065304
                   2,            0.051983,            0.017774,                   0,             0.53319,             0.87432,             0.58507,             0.16632,            0.028943,           0.0048124,                   0,            0.010442,           0.0097325,           0.0097325
                   3,            0.047558,            0.014747,                   0,             0.87306,             0.88784,             0.96059,             0.47422,            0.015104,           0.0047101,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.041644,            0.012371,                   0,             0.91207,             0.91351,             0.91922,             0.24661,            0.023684,           0.0035609,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.038081,            0.010708,                   0,              0.9973,             0.99689,             0.99439,             0.69313,            0.011102,           0.0032289,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.034052,           0.0092846,                   0,             0.99678,             0.99865,             0.99497,              0.5534,            0.011926,           0.0028546,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.033289,           0.0087853,                   0,             0.99595,             0.99715,             0.99416,             0.74381,            0.011626,           0.0027155,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.032274,           0.0082252,                   0,             0.99591,              0.9973,             0.99421,             0.56591,            0.011408,           0.0026472,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.029561,           0.0076154,                   0,             0.99685,                   1,               0.995,             0.57498,            0.011387,           0.0026495,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.030322,             0.00701,                   0,             0.99698,             0.99865,             0.99403,             0.61329,            0.012687,           0.0025371,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.028936,           0.0074044,                   0,             0.99855,             0.99865,             0.99478,             0.63899,           0.0095044,           0.0024527,                   0,             0.00901,             0.00901,             0.00901
